﻿MP's name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Start-up spend,Remaining start-up budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Chris Ruane,Vale of Clwyd CC,,,21512.24,,,,137438.94,,,,0,,,,0,,158951.18,,,24581.8,,uncapped,6503.3,uncapped,0,31085.1,190036.28,534
Chris Skidmore,Kingswood BC,,,17184.35,,,,132703.8,,,,0,,,,0,,149888.15,,,17420.14,,uncapped,625.4,uncapped,0,18045.54,167933.69,4021
Chris White,Warwick and Leamington BC,,,15341.09,,,,116504.78,,,,0,,,,0,,131845.87,,,19474.26,,uncapped,3437.6,uncapped,0,22911.86,154757.73,4114
Chris Williamson,Derby North BC,,,22322.64,,,,129553.54,,,,0,,,,0,,151876.18,,,22345.14,,uncapped,13115.91,uncapped,0,35461.05,187337.23,3976
Christopher Chope,Christchurch CC,,,16315.65,,,,77514.09,,,,0,,,,0,,93829.74,,,2521.74,,uncapped,6641.15,uncapped,0,9162.89,102992.63,242
Christopher Leslie,Nottingham East BC,,,18846.1,,,,125999.9,,,,0,,,,0,,144846,,,9925.74,,uncapped,5402.23,uncapped,0,15327.97,160173.97,422
Chuka Umunna,Streatham BC,,,23735.33,,,,155434.64,,,,0,,,,0,,179169.97,,,0,,uncapped,666.8,uncapped,105,771.8,179941.77,4128
Claire Perry,Devizes CC,,,19873.05,,,,126946.75,,,,0,,,,0,,146819.8,,,0,,uncapped,2857.02,uncapped,0,2857.02,149676.82,3974
Clive Betts,Sheffield South East BC,,,20427.53,,,,128394.28,,,,0,,,,0,,148821.81,,,19988.29,,uncapped,10314,uncapped,49,30351.29,179173.1,394
Clive Efford,Eltham BC,,,24724.12,,,,137527.56,,,,0,,,,0,,162251.68,,,0,,uncapped,1008.7,uncapped,705.85,1714.55,163966.23,165
Conor Burns,Bournemouth West BC,,,7431.19,,,,116122.3,,,,0,,,,0,,123553.49,,,18633.85,,uncapped,4445.2,uncapped,0,23079.05,146632.54,3922
