﻿MP's name,Constituency,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Start-up spend,Remaining start-up budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Jeremy Wright,Kenilworth and Southam CC,,14998.1,,,,104423.25,,,,0,,,,0,,119421.35,,,17487.75,,uncapped,6373.13,uncapped,0,23860.88,143282.23,1560
Jesse Norman,Hereford and South Herefordshire CC,,14693.46,,,,106514.08,,,,0,,,,0,,121207.54,,,0,,uncapped,311.7,uncapped,0,311.7,121519.24,3991
Jessica Lee,Erewash CC,,9808.33,,,,101943.5,,,,0,,,,0,,111751.83,,,19166.61,,uncapped,4085.55,uncapped,0,23252.16,135003.99,3993
Jessica Morden,Newport East CC,,15880.38,,,,108093.97,,,,0,,,,0,,123974.35,,,9303.96,,uncapped,6569.16,uncapped,627.57,16500.69,140475.04,1548
Jim Cunningham,Coventry South BC,,12179.66,,,,75081.97,,,,0,,,,0,,87261.63,,,16690.84,,uncapped,1294.45,uncapped,0,17985.29,105246.92,308
Jim Dobbin,Heywood and Middleton CC,,15148.48,,,,115534.51,,,,0,,,,0,,130682.99,,,1949.78,,uncapped,6030.8,uncapped,0,7980.58,138663.57,446
Jim Dowd,Lewisham West and Penge BC,,24222.58,,,,114819.17,,,,0,,,,0,,139041.75,,,0,,uncapped,0,uncapped,0,0,139041.75,189
Jim Fitzpatrick,Poplar and Limehouse BC,,17767.57,,,,110499.39,,,,0,,,,0,,128266.96,,,0,,uncapped,535,uncapped,0,535,128801.96,197
Jim Hood,Lanark and Hamilton East CC,,15600.62,,,,97642.7,,,,0,,,,0,,113243.32,,,3473.91,,uncapped,14756.21,uncapped,0,18230.12,131473.44,582
Jim McGovern,Dundee West BC,,19244.22,,,,115518.71,,,,0,,,,0,,134762.93,,,19993.35,,uncapped,16312.14,uncapped,0,36305.49,171068.42,1515
Jim Murphy,East Renfrewshire CC,,15803.8,,,,118952.33,,,,0,,,,0,,134756.13,,,13291.08,,uncapped,23684.79,uncapped,0,36975.87,171732,595
Jim Shannon,Strangford,,18799.39,,,,122003.86,,,,0,,,,0,,140803.25,,,9308.42,,uncapped,26967.7,uncapped,0,36276.12,177079.37,4131
Jim Sheridan,Paisley and Renfrewshire North CC,,20817.34,,,,102693.5,,,,0,,,,0,,123510.84,,,20616.7,,uncapped,21838.65,uncapped,67.5,42522.85,166033.69,1464
Jo Johnson,Orpington BC,,23005.92,,,,92756.59,,,,0,,,,0,,115762.51,,,0,,uncapped,2407.55,uncapped,0,2407.55,118170.06,4039
Jo Swinson,East Dunbartonshire CC,,14727.99,,,,103034.97,,,,0,,,,0,,117762.96,,,13166.25,,uncapped,8503.39,uncapped,290.8,21960.44,139723.4,1513
Joan Ruddock,"Lewisham, Deptford BC",,23512.22,,,,124161.25,,,,0,,,,0,,147673.47,,,0,,uncapped,767.9,uncapped,0,767.9,148441.37,190
Joan Walley,Stoke-on-Trent North BC,,10884.06,,,,103164.77,,,,0,,,,0,,114048.83,,,5087.24,,uncapped,9764.1,uncapped,0,14851.34,128900.17,286
Joe Benton,Bootle BC,,15325.11,,,,97412.5,,,,0,,,,0,,112737.61,,,2696.29,,uncapped,4716.4,uncapped,0,7412.69,120150.3,479
John Baron,Basildon and Billericay BC,,22844.77,,,,106172.78,,,,0,,,,0,,129017.55,,,0,,uncapped,1858.54,uncapped,0,1858.54,130876.09,1390
John Bercow,Buckingham CC,,5368.6,,,,83814.72,,,,0,,,,0,,89183.32,,,0,,uncapped,3639.35,uncapped,0,3639.35,92822.67,17
John Cryer,Leyton and Wanstead BC,,24288.24,,,,108307.95,,,,0,,,,0,,132596.19,,,0,,uncapped,86.6,uncapped,0,86.6,132682.79,181
John Denham,"Southampton, Itchen BC",,15445.09,,,,105992.81,,,,0,,,,0,,121437.9,,,11594.31,,uncapped,4300.38,uncapped,0,15894.69,137332.59,61
John Glen,Salisbury CC,,18208.36,,,,103558.01,,,,0,,,,0,,121766.37,,,24250.32,,uncapped,5516.45,uncapped,0,29766.77,151533.14,4051
John Hayes,South Holland and The Deepings CC,,12046.68,,,,119374.57,,,,0,,,,0,,131421.25,,,16981.74,,uncapped,10020.45,uncapped,0,27002.19,158423.44,350
John Healey,Wentworth and Dearne CC,,19413.53,,,,112196.64,,,,0,,,,0,,131610.17,,,17097.26,,uncapped,13923.84,uncapped,69.5,31090.6,162700.77,400
John Hemming,"Birmingham, Yardley BC",,13489.13,,,,118514.4,,,,0,,,,0,,132003.53,,,0,,uncapped,2891.55,uncapped,0,2891.55,134895.08,1483
John Howell,Henley CC,,4787.31,,,,104427.86,,,,0,,,,0,,109215.17,,,18533.88,,uncapped,1401.79,uncapped,0,19935.67,129150.84,1606
John Leech,"Manchester, Withington BC",,20430.13,,,,121436.12,,,,0,,,,0,,141866.25,,,17234.45,,uncapped,8701.21,uncapped,0,25935.66,167801.91,1543
John Mann,Bassetlaw CC,,19192.72,,,,105904.37,,,,0,,,,0,,125097.09,,,8280,,uncapped,6397.09,uncapped,333.9,15010.99,140108.08,1387
John McDonnell,Hayes and Harlington BC,,21221.65,,,,108565.22,,,,0,,,,0,,129786.87,,,0,,uncapped,599.85,uncapped,0,599.85,130386.72,178
John Penrose,Weston-Super-Mare CC,,14290.11,,,,75553.75,,,,0,,,,0,,89843.86,,,0,,uncapped,5683.02,uncapped,0,5683.02,95526.88,1584
John Pugh,Southport BC,,18678.05,,,,94061.08,,,,0,,,,0,,112739.13,,,20249.01,,uncapped,4031.35,uncapped,0,24280.36,137019.49,1454
John Randall,Uxbridge and South Ruislip BC,,1211.34,,,,83025.68,,,,0,,,,0,,84237.02,,,0,,uncapped,0,uncapped,0,0,84237.02,209
John Redwood,Wokingham CC,,3261.27,,,,57142.54,,,,0,,,,0,,60403.81,,,4986.47,,uncapped,0,uncapped,0,4986.47,65390.28,14
John Robertson,Glasgow North West BC,,15727.5,,,,101846.28,,,,0,,,,0,,117573.78,,,17713.48,,uncapped,15675.03,uncapped,0,33388.51,150962.29,605
John Spellar,Warley BC,,11977.13,,,,102287.5,,,,0,,,,0,,114264.63,,,1928.6,,uncapped,3859.7,uncapped,0,5788.3,120052.93,318
John Stanley,Tonbridge and Malling CC,,4212,,,,75826.95,,,,0,,,,0,,80038.95,,,0,,uncapped,804.2,uncapped,0,804.2,80843.15,91
John Stevenson,Carlisle CC,,18470.12,,,,73038.78,,,,0,,,,0,,91508.9,,,13423.26,,uncapped,11720.16,uncapped,0,25143.42,116652.32,3942
John Thurso,"Caithness, Sutherland and Easter Ross CC",,7652.65,,,,102537.48,,,,0,,,,0,,110190.13,,,17846.04,,uncapped,33410.14,uncapped,0,51256.18,161446.31,1399
John Whittingdale,Maldon CC,,7500.33,,,,86748.91,,,,0,,,,0,,94249.24,,,3550.21,,uncapped,3570.4,uncapped,0,7120.61,101369.85,39
John Woodcock,Barrow and Furness CC,,21135.86,,,,115293.13,,,,0,,,,0,,136428.99,,,14470.96,,uncapped,6835.79,uncapped,0,21306.75,157735.74,3917
Jon Cruddas,Dagenham and Rainham BC,,27171.37,,,,135105.69,,,,0,,,,0,,162277.06,,,0,,uncapped,0,uncapped,0,0,162277.06,1406
Jon Trickett,Hemsworth CC,,19096.03,,,,114860.61,,,,0,,,,0,,133956.64,,,15600,,uncapped,5421.75,uncapped,0,21021.75,154978.39,410
Jonathan Ashworth,Leicester South BC,,18959.63,,,,86035.9,,,,3010.99,,,,0,,108006.52,,,15149.92,,uncapped,5281.84,uncapped,0,20431.76,128438.28,4244
Jonathan Djanogly,Huntingdon CC,,12672.01,,,,99593.33,,,,0,,,,0,,112265.34,,,0,,uncapped,667.3,uncapped,0,667.3,112932.64,1425
Jonathan Edwards,Carmarthen East and Dinefwr CC,,12329.46,,,,100331.39,,,,0,,,,0,,112660.85,,,19361.25,,uncapped,5172.95,uncapped,0,24534.2,137195.05,3943
Jonathan Evans,Cardiff North BC,,18782.95,,,,112039.56,,,,0,,,,0,,130822.51,,,19900,,uncapped,0,uncapped,0,19900,150722.51,1166
Jonathan Lord,Woking CC,,9182.49,,,,88445.77,,,,0,,,,0,,97628.26,,,0,,uncapped,1248.95,uncapped,0,1248.95,98877.21,4090
Jonathan Reynolds,Stalybridge and Hyde CC,,21244.68,,,,102632.85,,,,0,,,,0,,123877.53,,,16916.07,,uncapped,9207.26,uncapped,0,26123.33,150000.86,4119
Julian Brazier,Canterbury CC,,9504.41,,,,107923.4,,,,0,,,,0,,117427.81,,,16386.94,,uncapped,4110.05,uncapped,45.1,20542.09,137969.9,77
Julian Huppert,Cambridge BC,,18055.48,,,,111283.11,,,,0,,,,0,,129338.59,,,14765.46,,uncapped,2456.8,uncapped,0,17222.26,146560.85,3931
Julian Lewis,New Forest East CC,,11835.68,,,,101187,,,,0,,,,0,,113022.68,,,6926.38,,uncapped,3893.2,uncapped,0,10819.58,123842.26,54
Julian Smith,Skipton and Ripon CC,,11278.92,,,,118172.17,,,,0,,,,0,,129451.09,,,0,,uncapped,7902.63,uncapped,0,7902.63,137353.72,4118
Julian Sturdy,York Outer CC,,11710.61,,,,74679.3,,,,0,,,,0,,86389.91,,,18981.12,,uncapped,4862.55,uncapped,0,23843.67,110233.58,4079
Julie Elliott,Sunderland Central BC,,16536.39,,,,111722.16,,,,0,,,,0,,128258.55,,,15881.5,,uncapped,6110.02,uncapped,0,21991.52,150250.07,4127
Julie Hilling,Bolton West CC,,25738.53,,,,121337.18,,,,0,,,,0,,147075.71,,,17816.03,,uncapped,8014.81,uncapped,0,25830.84,172906.55,3925
Justin Tomlinson,North Swindon CC,,9508.4,,,,90547.49,,,,0,,,,0,,100055.89,,,15461.05,,uncapped,1412.6,uncapped,0,16873.65,116929.54,4105
Justine Greening,Putney BC,,10743.86,,,,104346.62,,,,0,,,,0,,115090.48,,,0,,uncapped,760,uncapped,0,760,115850.48,1555
Karen Bradley,Staffordshire Moorlands CC,,18384.91,,,,99172.84,,,,0,,,,0,,117557.75,,,24858,,uncapped,11214.86,uncapped,0,36072.86,153630.61,4110
Karen Buck,Westminster North BC,,23679.31,,,,121327.18,,,,0,,,,0,,145006.49,,,0,,uncapped,1043.37,uncapped,0,1043.37,146049.86,199
Karen Lumley,Redditch CC,,18888.82,,,,105309.17,,,,0,,,,0,,124197.99,,,16257.7,,uncapped,4674.11,uncapped,43,20974.81,145172.8,4023
Karl McCartney,Lincoln BC,,6897.72,,,,96824.91,,,,0,,,,0,,103722.63,,,10709.09,,uncapped,11537.2,uncapped,0,22246.29,125968.92,4028
Karl Turner,Kingston upon Hull East BC,,12757.93,,,,103461.04,,,,0,,,,0,,116218.97,,,13430.16,,uncapped,5109.05,uncapped,0,18539.21,134758.18,4030
Kate Green,Stretford and Urmston BC,,16792.9,,,,115118.38,,,,0,,,,0,,131911.28,,,0,,uncapped,7517.33,uncapped,367.38,7884.71,139795.99,4120
Kate Hoey,Vauxhall BC,,4779.3,,,,109193.5,,,,0,,,,0,,113972.8,,,0,,uncapped,579.83,uncapped,0,579.83,114552.63,210
Katy Clark,North Ayrshire and Arran CC,,25334.38,,,,110475.25,,,,0,,,,0,,135809.63,,,464.62,,uncapped,15317.41,uncapped,10653.2,26435.23,162244.86,1590
Keith Simpson,Broadland CC,,9797.91,,,,79677.45,,,,0,,,,0,,89475.36,,,19899.96,,uncapped,5606.85,uncapped,0,25506.81,114982.17,126
Keith Vaz,Leicester East BC,,31573.93,,,,130807.23,,,,0,,,,0,,162381.16,,,0,,uncapped,6823.4,uncapped,0,6823.4,169204.56,338
Kelvin Hopkins,Luton North BC,,15647.62,,,,114774.29,,,,0,,,,0,,130421.91,,,391.71,,uncapped,4588.63,uncapped,0,4980.34,135402.25,2
Ken Clarke,Rushcliffe CC,,10009.14,,,,89213.46,,,,0,,,,0,,99222.6,,,11454.7,,uncapped,4521.6,uncapped,0,15976.3,115198.9,366
Kerry McCarthy,Bristol East BC,,15140.35,,,,113377.26,,,,0,,,,0,,128517.61,,,19227.22,,uncapped,3202.04,uncapped,0,22429.26,150946.87,1491
Kevan Jones,North Durham CC,,19202.66,,,,109027.15,,,,0,,,,0,,128229.81,,,18656.53,,uncapped,14126.83,uncapped,0,32783.36,161013.17,1438
Kevin Barron,Rother Valley CC,,7430.56,,,,115036.5,,,,0,,,,0,,122467.06,,,19327.79,,uncapped,5530.2,uncapped,0,24857.99,147325.05,392
Kevin Brennan,Cardiff West BC,,22197.64,,,,103379.15,,,,0,,,,0,,125576.79,,,16754,,uncapped,6202.83,uncapped,645.02,23601.85,149178.64,1400
Khalid Mahmood,"Birmingham, Perry Barr BC",,18736.15,,,,95162.64,,,,0,,,,0,,113898.79,,,0,,uncapped,13660,uncapped,0,13660,127558.79,1392
Kris Hopkins,Keighley CC,,12003.62,,,,99397.29,,,,0,,,,0,,111400.91,,,19055.36,,uncapped,8575.2,uncapped,0,27630.56,139031.47,4043
Kwasi Kwarteng,Spelthorne BC,,11680.11,,,,95833.56,,,,0,,,,0,,107513.67,,,0,,uncapped,150,uncapped,0,150,107663.67,4134
Laura Sandys,South Thanet CC,,21753.69,,,,103242.2,,,,0,,,,0,,124995.89,,,0,,uncapped,3102.65,uncapped,0,3102.65,128098.54,4094
Laurence Robertson,Tewkesbury CC,,14578.71,,,,109164.12,,,,0,,,,0,,123742.83,,,17010.73,,uncapped,9491.52,uncapped,0,26502.25,150245.08,253
Lee Scott,Ilford North BC,,7744.74,,,,97911.81,,,,0,,,,0,,105656.55,,,0,,uncapped,0,uncapped,0,0,105656.55,1534
Liam Byrne,"Birmingham, Hodge Hill BC",,17392.95,,,,114361.79,,,,0,,,,0,,131754.74,,,19618.22,,uncapped,7363.15,uncapped,0,26981.37,158736.11,1171
Liam Fox,North Somerset CC,,9293.3,,,,100069.5,,,,0,,,,0,,109362.8,,,4262.38,,uncapped,964.23,uncapped,0,5226.61,114589.41,223
Lilian Greenwood,Nottingham South BC,,19807.73,,,,115539.54,,,,0,,,,0,,135347.27,,,19309.98,,uncapped,4938.78,uncapped,0,24248.76,159596.03,4029
Linda Riordan,Halifax BC,,17187.92,,,,113419.88,,,,0,,,,0,,130607.8,,,18185.79,,uncapped,1915.45,uncapped,0,20101.24,150709.04,1525
Lindsay Hoyle,Chorley CC,,11217.78,,,,117825.38,,,,0,,,,0,,129043.16,,,11303.48,,uncapped,12261.2,uncapped,0,23564.68,152607.84,467
Lindsay Roy,Glenrothes CC,,11351.96,,,,99366.04,,,,0,,,,0,,110718,,,18478.27,,uncapped,14634.81,uncapped,0,33113.08,143831.08,1608
Lisa Nandy,Wigan CC,,15604.08,,,,115309.66,,,,0,,,,0,,130913.74,,,20160.04,,uncapped,5299.75,uncapped,0,25459.79,156373.53,4082
Liz Kendall,Leicester West BC,,19431.6,,,,114859.15,,,,0,,,,0,,134290.75,,,16058.32,,uncapped,5292.53,uncapped,0,21350.85,155641.6,4026
Lorely Burt,Solihull BC,,15005.09,,,,112935.07,,,,0,,,,0,,127940.16,,,10774.5,,uncapped,5217.78,uncapped,0,15992.28,143932.44,1567
Lorraine Fullbrook,South Ribble CC,,8160.27,,,,94498.09,,,,0,,,,0,,102658.36,,,14046.67,,uncapped,6292.8,uncapped,0,20339.47,122997.83,4121
Louise Ellman,"Liverpool, Riverside BC",,16640.66,,,,107691.64,,,,0,,,,0,,124332.3,,,8787.17,,uncapped,5115.6,uncapped,0,13902.77,138235.07,484
Louise Mensch,Corby CC,,10816.45,,,,114210.58,,,,0,,,,0,,125027.03,,,17218.9,,uncapped,5321.18,uncapped,0,22540.08,147567.11,3959
Luciana Berger,"Liverpool, Wavertree BC",,18887.1,,,,114457.48,,,,0,,,,0,,133344.58,,,19900,,uncapped,9660.08,uncapped,0,29560.08,162904.66,4036
Lyn Brown,West Ham BC,,21815.63,,,,108809.58,,,,0,,,,0,,130625.21,,,0,,uncapped,0,uncapped,0,0,130625.21,1583
Lynne Featherstone,Hornsey and Wood Green BC,,20662.38,,,,101868.87,,,,0,,,,0,,122531.25,,,0,,uncapped,0,uncapped,0,0,122531.25,1531
Madeleine Moon,Bridgend CC,,15975.07,,,,113241.05,,,,0,,,,0,,129216.12,,,2491.31,,uncapped,6826.33,uncapped,0,9317.64,138533.76,1490
Malcolm Bruce,Gordon CC,,13920.42,,,,114847.22,,,,0,,,,0,,128767.64,,,20301.22,,uncapped,23521.58,uncapped,0,43822.8,172590.44,615
Malcolm Rifkind,Kensington BC,,7033.15,,,,111679.21,,,,0,,,,0,,118712.36,,,0,,uncapped,0,uncapped,149.22,149.22,118861.58,1191
Malcolm Wicks,Croydon North BC,,22674.36,,,,107473.77,,,,0,,,,0,,130148.13,,,0,,uncapped,91.55,uncapped,35.35,126.9,130275.03,156
Marcus Jones,Nuneaton CC,,16303.76,,,,93195.39,,,,0,,,,0,,109499.15,,,19013.26,,uncapped,5433.24,uncapped,0,24446.5,133945.65,4024
Margaret Beckett,Derby South BC,,6178.93,,,,120649.56,,,,0,,,,0,,126828.49,,,5981.56,,uncapped,7070.35,uncapped,0,13051.91,139880.4,328
Margaret Curran,Glasgow East BC,,20495.45,,,,106249.25,,,,0,,,,0,,126744.7,,,19857.56,,uncapped,12347.89,uncapped,350,32555.45,159300.15,3982
Margaret Hodge,Barking BC,,23556.7,,,,127918.45,,,,0,,,,0,,151475.15,,,0,,uncapped,397.47,uncapped,0,397.47,151872.62,140
Margaret Ritchie,South Down,,26328.87,,,,120702.26,,,,0,,,,0,,147031.13,,,4716,,uncapped,14919.45,uncapped,0,19635.45,166666.58,4130
Margot James,Stourbridge BC,,17706.72,,,,105214.99,,,,0,,,,0,,122921.71,,,0,,uncapped,3539.98,uncapped,0,3539.98,126461.69,4115
Maria Eagle,Garston and Halewood BC,,11229.42,,,,121039.76,,,,0,,,,0,,132269.18,,,7273.58,,uncapped,7191.35,uncapped,0,14464.93,146734.11,483
Maria Miller,Basingstoke BC,,8444.14,,,,99006.93,,,,0,,,,0,,107451.07,,,13951.28,,uncapped,3453.65,uncapped,0,17404.93,124856,1480
Mark Durkan,Foyle,,12947.16,,,,105311.47,,,,0,,,,0,,118258.63,,,9569.6,,uncapped,15738.98,uncapped,0,25308.58,143567.21,1594
Mark Field,Cities of London and Westminster BC,,9194.57,,,,114377.64,,,,0,,,,0,,123572.21,,,0,,uncapped,1495.3,uncapped,0,1495.3,125067.51,1405
Mark Francois,Rayleigh and Wickford CC,,3104.19,,,,92046.14,,,,0,,,,0,,95150.33,,,0,,uncapped,0,uncapped,268.63,268.63,95418.96,1444
Mark Garnier,Wyre Forest CC,,16583.29,,,,106212.72,,,,0,,,,0,,122796.01,,,21428.81,,uncapped,6953.69,uncapped,0,28382.5,151178.51,4074
Mark Harper,Forest of Dean CC,,19043.09,,,,90670.94,,,,0,,,,0,,109714.03,,,5693.78,,uncapped,8968.55,uncapped,0,14662.33,124376.36,1520
Mark Hendrick,Preston BC,,17313.22,,,,101257.52,,,,0,,,,0,,118570.74,,,2048.89,,uncapped,8830.07,uncapped,0,10878.96,129449.7,473
Mark Hoban,Fareham CC,,2815.23,,,,68469.12,,,,0,,,,0,,71284.35,,,16431.85,,uncapped,2959.5,uncapped,430.83,19822.18,91106.53,1414
Mark Hunter,Cheadle BC,,15405.72,,,,108809.29,,,,0,,,,0,,124215.01,,,18420.15,,uncapped,6333.04,uncapped,0,24753.19,148968.2,1598
Mark Lancaster,Milton Keynes North CC,,11883.35,,,,114068.69,,,,0,,,,0,,125952.04,,,14814.38,,uncapped,6861.99,uncapped,0,21676.37,147628.41,1544
Mark Lazarowicz,Edinburgh North and Leith BC,,15657.08,,,,108713.97,,,,0,,,,0,,124371.05,,,1748.94,,uncapped,10298,uncapped,0,12046.94,136417.99,1411
Mark Menzies,Fylde CC,,17459.03,,,,108805.56,,,,0,,,,0,,126264.59,,,20142.22,,uncapped,8407.28,uncapped,0,28549.5,154814.09,3998
Mark Pawsey,Rugby CC,,20432.89,,,,83104.54,,,,0,,,,0,,103537.43,,,17254.32,,uncapped,4251.38,uncapped,0,21505.7,125043.13,4052
Mark Prisk,Hertford and Stortford CC,,17811.68,,,,109170.56,,,,0,,,,0,,126982.24,,,0,,uncapped,820.65,uncapped,0,820.65,127802.89,1424
Mark Pritchard,The Wrekin CC,,17124.64,,,,89669.81,,,,0,,,,0,,106794.45,,,6968.53,,uncapped,11000.61,uncapped,0,17969.14,124763.59,1576
Mark Reckless,Rochester and Strood CC,,15109.94,,,,104815.69,,,,0,,,,0,,119925.63,,,1712.07,,uncapped,2702.53,uncapped,35,4449.6,124375.23,4049
Mark Simmonds,Boston and Skegness CC,,20765.23,,,,113708.15,,,,0,,,,0,,134473.38,,,13871.14,,uncapped,7700.9,uncapped,0,21572.04,156045.42,1393
Mark Spencer,Sherwood CC,,11797.28,,,,97597.56,,,,0,,,,0,,109394.84,,,6979,,uncapped,5063.65,uncapped,0,12042.65,121437.49,4055
Mark Tami,Alyn and Deeside CC,,16276.22,,,,102991.36,,,,0,,,,0,,119267.58,,,19854.99,,uncapped,7839.45,uncapped,0,27694.44,146962.02,1383
Mark Williams,Ceredigion CC,,11454.47,,,,104128.47,,,,0,,,,0,,115582.94,,,12064.56,,uncapped,7692.15,uncapped,0,19756.71,135339.65,1498
Marsha Singh,Bradford West BC,,20672.54,,,,91805.15,,,,0,,,,26242.6,,138720.29,,,2559.26,,uncapped,669.69,uncapped,0,3228.95,141949.24,404
Martin Caton,Gower CC,,9503.78,,,,96113.4,,,,0,,,,0,,105617.18,,,1647.57,,uncapped,5504.8,uncapped,0,7152.37,112769.55,566
Martin Horwood,Cheltenham BC,,13781.57,,,,114296.56,,,,0,,,,0,,128078.13,,,19770.49,,uncapped,4814.5,uncapped,0,24584.99,152663.12,1499
Martin McGuinness,Mid Ulster,,21300,,,,86638.84,,,,0,,,,0,,107938.84,,,0,,uncapped,2782.58,uncapped,0,2782.58,110721.42,651
Martin Vickers,Cleethorpes CC,,13120.66,,,,93679.33,,,,0,,,,0,,106799.99,,,18346.28,,uncapped,4609.95,uncapped,18.35,22974.58,129774.57,3957
Mary Creagh,Wakefield CC,,18366.8,,,,108945.99,,,,0,,,,0,,127312.79,,,13253.43,,uncapped,8887.01,uncapped,0,22140.44,149453.23,1579
Mary Glindon,North Tyneside BC,,16285.21,,,,88916.14,,,,0,,,,0,,105201.35,,,20491.89,,uncapped,8249.8,uncapped,70,28811.69,134013.04,4126
Mary MacLeod,Brentford and Isleworth BC,,11737.6,,,,121480.57,,,,0,,,,0,,133218.17,,,0,,uncapped,513.8,uncapped,0,513.8,133731.97,3927
Matthew Hancock,West Suffolk CC,,17497.82,,,,102056.99,,,,0,,,,0,,119554.81,,,17372.48,,uncapped,6022.92,uncapped,0,23395.4,142950.21,4070
Matthew Offord,Hendon BC,,14160.83,,,,94919.26,,,,0,,,,0,,109080.09,,,0,,uncapped,1226.74,uncapped,0,1226.74,110306.83,4006
Meg Hillier,Hackney South and Shoreditch BC,,15285.16,,,,127768.98,,,,0,,,,0,,143054.14,,,0,,uncapped,1179.11,uncapped,448.5,1627.61,144681.75,1524
Meg Munn,"Sheffield, Heeley BC",,18124.18,,,,85066.22,,,,0,,,,0,,103190.4,,,19899.91,,uncapped,5688.16,uncapped,408,25996.07,129186.47,1448
Mel Stride,Central Devon CC,,10263.14,,,,101641.38,,,,0,,,,0,,111904.52,,,14754.05,,uncapped,6836.33,uncapped,0,21590.38,133494.9,3935
Menzies Campbell,North East Fife CC,,11995,,,,109640.94,,,,0,,,,0,,121635.94,,,10176.37,,uncapped,13066.02,uncapped,0,23242.39,144878.33,627
Michael Connarty,Linlithgow and East Falkirk CC,,22203.2,,,,118998.14,,,,0,,,,0,,141201.34,,,17500,,uncapped,15816.09,uncapped,0,33316.09,174517.43,602
Michael Dugher,Barnsley East CC,,16841.23,,,,113475.73,,,,0,,,,0,,130316.96,,,11422.88,,uncapped,8545.1,uncapped,0,19967.98,150284.94,3916
Michael Ellis,Northampton North BC,,4673.15,,,,83478.07,,,,0,,,,0,,88151.22,,,19539.36,,uncapped,0,uncapped,0,19539.36,107690.58,4116
Michael Fabricant,Lichfield CC,,4537.04,,,,87408.31,,,,0,,,,0,,91945.35,,,10437.97,,uncapped,5232.35,uncapped,0,15670.32,107615.67,280
Michael Fallon,Sevenoaks CC,,8771.66,,,,89280.32,,,,0,,,,0,,98051.98,,,1521.29,,uncapped,0,uncapped,347.37,1868.66,99920.64,88
Michael Gove,Surrey Heath CC,,20227.24,,,,118082.05,,,,0,,,,0,,138309.29,,,0,,uncapped,517.75,uncapped,0,517.75,138827.04,1571
Michael McCann,"East Kilbride, Strathaven and Lesmahagow CC",,18378.83,,,,106953.26,,,,0,,,,0,,125332.09,,,22004.13,,uncapped,21927.72,uncapped,481.72,44413.57,169745.66,3963
Michael Meacher,Oldham West and Royton BC,,28480.66,,,,123017.29,,,,0,,,,0,,151497.95,,,6466.3,,uncapped,1606.65,uncapped,0,8072.95,159570.9,454
Michael Moore,"Berwickshire, Roxburgh and Selkirk CC",,20669.58,,,,104290.96,,,,0,,,,0,,124960.54,,,11831.4,,uncapped,18318.28,uncapped,600.67,30750.35,155710.89,638
Michelle Gildernew,Fermanagh and South Tyrone,,14376,,,,84004.03,,,,0,,,,0,,98380.03,,,0,,uncapped,2036.48,uncapped,0,2036.48,100416.51,1416
Mike Crockart,Edinburgh West BC,,19964.02,,,,101169.84,,,,0,,,,0,,121133.86,,,19910.45,,uncapped,14331.48,uncapped,0,34241.93,155375.79,3967
Mike Freer,Finchley and Golders Green BC,,19481.21,,,,111555.78,,,,0,,,,0,,131036.99,,,0,,uncapped,92.67,uncapped,133,225.67,131262.66,4004
Mike Gapes,Ilford South BC,,21101.16,,,,117512.85,,,,0,,,,0,,138614.01,,,0,,uncapped,1403.94,uncapped,0,1403.94,140017.95,184
Mike Hancock,Portsmouth South BC,,16347.07,,,,106819.23,,,,0,,,,0,,123166.3,,,0,,uncapped,5614.74,uncapped,0,5614.74,128781.04,59
Mike Penning,Hemel Hempstead CC,,20558.01,,,,80587.78,,,,0,,,,0,,101145.79,,,0,,uncapped,0,uncapped,0,0,101145.79,1528
Mike Weatherley,Hove BC,,20201.48,,,,114847.6,,,,0,,,,0,,135049.08,,,21755.42,,uncapped,2410.35,uncapped,0,24165.77,159214.85,3984
Mike Weir,Angus CC,,15857.5,,,,95510.24,,,,0,,,,0,,111367.74,,,21227.55,,uncapped,15674.72,uncapped,0,36902.27,148270.01,1384
Mike Wood,Batley and Spen BC,,18163.68,,,,107876.04,,,,0,,,,0,,126039.72,,,14513.73,,uncapped,5674.81,uncapped,0,20188.54,146228.26,401
Nadhim Zahawi,Stratford-on-Avon CC,,17632.93,,,,111623.84,,,,0,,,,0,,129256.77,,,6607.62,,uncapped,3885.7,uncapped,0,10493.32,139750.09,4113
Nadine Dorries,Mid Bedfordshire CC,,12893.63,,,,106300.1,,,,0,,,,0,,119193.73,,,19735.36,,uncapped,4728.21,uncapped,0,24463.57,143657.3,1481
Naomi Long,Belfast East,,12033.79,,,,77739.19,,,,0,,,,0,,89772.98,,,19721.42,,uncapped,6696.09,uncapped,0,26417.51,116190.49,3920
Natascha Engel,North East Derbyshire CC,,12714.55,,,,109478.66,,,,0,,,,0,,122193.21,,,17453.15,,uncapped,7935.6,uncapped,0,25388.75,147581.96,1507
Neil Carmichael,Stroud CC,,16585.25,,,,106210.2,,,,0,,,,0,,122795.45,,,18168.67,,uncapped,3746.64,uncapped,0,21915.31,144710.76,4104
