﻿MP's name,Constituency,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Start-up spend,Remaining start-up budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Bridget Phillipson,Houghton and Sunderland South BC,,21389.96,,,,112831.41,,,,0,,,,0,,134221.37,,,22280.79,,uncapped,8969.42,uncapped,0,31250.21,165471.58,4046
Brooks Newmark,Braintree CC,,15747.94,,,,109973.69,,,,0,,,,0,,125721.63,,,10865,,uncapped,2336,uncapped,0,13201,138922.63,1488
Caroline Dinenage,Gosport BC,,13459.92,,,,93479.86,,,,0,,,,0,,106939.78,,,20099.59,,uncapped,5033.4,uncapped,21,25153.99,132093.77,4008
Caroline Flint,Don Valley CC,,15919.25,,,,107158.44,,,,0,,,,0,,123077.69,,,7696.57,,uncapped,5348.75,uncapped,0,13045.32,136123.01,389
Caroline Lucas,"Brighton, Pavilion BC",,16734.15,,,,104323.19,,,,0,,,,0,,121057.34,,,4163,,uncapped,5396.2,uncapped,48,9607.2,130664.54,3930
Caroline Nokes,Romsey and Southampton North CC,,9606.73,,,,80079.94,,,,0,,,,0,,89686.67,,,12712.48,,uncapped,6055.23,uncapped,0,18767.71,108454.38,4048
Caroline Spelman,Meriden CC,,12873.79,,,,75192.08,,,,0,,,,0,,88065.87,,,0,,uncapped,4598.71,uncapped,0,4598.71,92664.58,312
Catherine McKinnell,Newcastle upon Tyne North BC,,22340.38,,,,122039.51,,,,0,,,,0,,144379.89,,,22143.58,,uncapped,10547.6,uncapped,0,32691.18,177071.07,4125
Cathy Jamieson,Kilmarnock and Loudoun CC,,18187.86,,,,111216.4,,,,0,,,,0,,129404.26,,,21914.83,,uncapped,9847.26,uncapped,0,31762.09,161166.35,4011
Charles Hendry,Wealden CC,,7409.57,,,,89297.93,,,,0,,,,0,,96707.5,,,14099.4,,uncapped,2039.2,uncapped,0,16138.6,112846.1,1220
Charles Kennedy,"Ross, Skye and Lochaber CC",,18719.49,,,,115078.66,,,,0,,,,0,,133798.15,,,21319.82,,uncapped,27593.68,uncapped,0,48913.5,182711.65,634
Charles Walker,Broxbourne BC,,15761.81,,,,107365.14,,,,0,,,,0,,123126.95,,,0,,uncapped,574.55,uncapped,0,574.55,123701.5,1493
Charlie Elphicke,Dover CC,,8025.54,,,,108382.61,,,,0,,,,0,,116408.15,,,0,,uncapped,4292.25,uncapped,0,4292.25,120700.4,3971
Charlotte Leslie,Bristol North West BC,,18721.25,,,,113419.09,,,,0,,,,0,,132140.34,,,19571.16,,uncapped,2761.95,uncapped,0,22333.11,154473.45,3933
Cheryl Gillan,Chesham and Amersham CC,,26407.94,,,,116357.28,,,,0,,,,0,,142765.22,,,6452.95,,uncapped,1866.55,uncapped,0,8319.5,151084.72,18
Chinyelu Onwurah,Newcastle upon Tyne Central BC,,18721.87,,,,114059.96,,,,0,,,,0,,132781.83,,,11300.96,,uncapped,14487.29,uncapped,0,25788.25,158570.08,4124
Chloe Smith,Norwich North BC,,21341.16,,,,106951.29,,,,0,,,,0,,128292.45,,,9507.47,,uncapped,3672.05,uncapped,346.1,13525.62,141818.07,1609
Chris Bryant,Rhondda CC,,9964.51,,,,105343.41,,,,0,,,,0,,115307.92,,,19773.99,,uncapped,9474.99,uncapped,0,29248.98,144556.9,1446
Chris Evans,Islwyn CC,,18624.35,,,,106252.16,,,,0,,,,0,,124876.51,,,18681.45,,uncapped,7251.33,uncapped,0,25932.78,150809.29,4040
Chris Grayling,Epsom and Ewell BC,,15388.2,,,,103840.23,,,,0,,,,0,,119228.43,,,0,,uncapped,708.38,uncapped,0,708.38,119936.81,1413
Chris Heaton-Harris,Daventry CC,,7918.14,,,,100454.73,,,,0,,,,0,,108372.87,,,23948.26,,uncapped,2588.5,uncapped,0,26536.76,134909.63,3977
Chris Huhne,Eastleigh BC,,17792.3,,,,82821.32,,,,0,,,,0,,100613.62,,,0,,uncapped,2151.34,uncapped,0,2151.34,102764.96,1517
Chris Kelly,Dudley South BC,,3150.06,,,,84790.47,,,,0,,,,0,,87940.53,,,0,,uncapped,5942.8,uncapped,0,5942.8,93883.33,3975
